"YEAR","MONTH","CODE","ACE_CODE","NAME","ID","TTF_FLT","DURATION","CFMU_DURATION","CFMU_DISTANCE","UNIT_KIND","UNIT_PRU_TYPE","TDM_15_ERT_NA","TDM_15","TDF_15_ERT_NA","TDF_15_ARP","TDF_15"
2014,1,"ENAV","ENAV","ENAV",12,97761,3885255,3885255,23901472,"ANSP","ANSP",2607,10761,45,245,290
2014,4,"ENAV","ENAV","ENAV",12,126673,4919105,4919105,30816914,"ANSP","ANSP",0,3669,0,103,103
2015,1,"ENAV","ENAV","ENAV",12,98972,3861320,3861320,23725687,"ANSP","ANSP",414,25255,5,460,465
2014,5,"ENAV","ENAV","ENAV",12,142042,5586431,5586431,35295452,"ANSP","ANSP",29,10328,1,311,312
2014,6,"ENAV","ENAV","ENAV",12,155184,6137045,6137045,38976653,"ANSP","ANSP",0,13581,0,422,422
2014,7,"ENAV","ENAV","ENAV",12,171083,6765773,6765773,43319471,"ANSP","ANSP",0,20386,0,438,438
2014,8,"ENAV","ENAV","ENAV",12,173313,6916029,6916029,44597605,"ANSP","ANSP",0,7085,0,163,163
2014,9,"ENAV","ENAV","ENAV",12,152872,5975483,5975483,38138223,"ANSP","ANSP",7462,14866,95,145,240
2014,10,"ENAV","ENAV","ENAV",12,134048,5225311,5225311,32835669,"ANSP","ANSP",0,11695,0,386,386
2015,3,"ENAV","ENAV","ENAV",12,108664,4203718,4203718,25826937,"ANSP","ANSP",19,7696,1,152,153
2014,12,"ENAV","ENAV","ENAV",12,99338,3864412,3864412,23861986,"ANSP","ANSP",18918,22809,218,96,314
2015,4,"ENAV","ENAV","ENAV",12,128138,4952761,4952761,30798686,"ANSP","ANSP",0,6817,0,179,179
2014,11,"ENAV","ENAV","ENAV",12,102230,3980071,3980071,24497105,"ANSP","ANSP",0,4508,0,155,155
2014,10,"FINLAND CAA","FINLAND CAA","Finavia",13,20794,583988,583988,3187141,"ANSP","ANSP",0,100,0,4,4
2015,3,"FINLAND CAA","FINLAND CAA","Finavia",13,19553,561284,561284,3051048,"ANSP","ANSP",0,0,0,,0
2014,2,"FINLAND CAA","FINLAND CAA","Finavia",13,16889,499195,499195,2687318,"ANSP","ANSP",0,5508,0,205,205
2014,3,"FINLAND CAA","FINLAND CAA","Finavia",13,19560,587887,587887,3159631,"ANSP","ANSP",0,682,0,28,28
2014,1,"FINLAND CAA","FINLAND CAA","Finavia",13,17659,515566,515566,2810554,"ANSP","ANSP",0,125,0,6,6
2015,2,"FINLAND CAA","FINLAND CAA","Finavia",13,16960,481975,481975,2614764,"ANSP","ANSP",0,878,0,30,30
2014,4,"FINLAND CAA","FINLAND CAA","Finavia",13,19216,561891,561891,3024269,"ANSP","ANSP",0,0,0,,0
2015,1,"FINLAND CAA","FINLAND CAA","Finavia",13,17389,484079,484079,2677477,"ANSP","ANSP",0,1276,0,52,52
2014,5,"FINLAND CAA","FINLAND CAA","Finavia",13,20604,579968,579968,3102313,"ANSP","ANSP",0,0,0,,0
2014,6,"FINLAND CAA","FINLAND CAA","Finavia",13,19784,546824,546824,2952425,"ANSP","ANSP",0,460,0,17,17
2014,7,"FINLAND CAA","FINLAND CAA","Finavia",13,17819,464480,464480,2580963,"ANSP","ANSP",0,1408,0,53,53
2014,8,"FINLAND CAA","FINLAND CAA","Finavia",13,19984,545679,545679,2993594,"ANSP","ANSP",0,3884,0,167,167
