"YEAR","MONTH_NUM","ANSP_NAME","FLT_1","DIST_KM_1","DUR_MIN_1","DLY_FLT_1","DLY_FLT_15_1","DLY_1","DLY_15_1","APT_DLY_FLT_1","APT_DLY_FLT_15_1","APT_DLY_1","APT_DLY_15_1","ERT_DLY_FLT_1","ERT_DLY_FLT_15_1","ERT_DLY_1","ERT_DLY_15_1","ERT_DLY_A_1","ERT_DLY_C_1","ERT_DLY_D_1","ERT_DLY_E_1","ERT_DLY_G_1","ERT_DLY_I_1","ERT_DLY_M_1","ERT_DLY_N_1","ERT_DLY_O_1","ERT_DLY_P_1","ERT_DLY_R_1","ERT_DLY_S_1","ERT_DLY_T_1","ERT_DLY_V_1","ERT_DLY_W_1","ERT_DLY_NA_1"
2014,4,"DFS",224251,71055563.62,6601743,2811,1581,55568,45002,990,638,23945,20951,1821,943,31623,24051,0,2947,0,0,603,0,0,0,500,4819,0,1755,54,0,20945,0
2014,4,"ARMATS",4130,820941.596,64250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,4,"ENAV",126673,57072763.604,4919095,146,103,4038,3669,146,103,4038,3669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,4,"MUAC",137323,39472826.092,2898214,2603,854,33492,18456,0,0,0,0,2603,854,33492,18456,0,13407,0,0,0,0,16721,0,0,0,0,0,0,0,3364,0
2014,4,"Skyguide",95875,17050382.44,1579374,2435,964,34754,21937,2140,838,30210,18777,295,126,4544,3160,0,3806,0,0,0,0,0,0,0,137,0,0,0,0,601,0
2014,4,"Oro Navigacija",17895,2940470.404,259490,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,4,"Avinor (Continental)",50732,16259543.252,1821733,174,69,2402,1569,129,61,1947,1385,45,8,455,184,0,431,0,0,0,0,0,0,0,0,0,24,0,0,0,0
2014,4,"NATS (Continental)",181014,64313870.624,6358076,1705,1100,50931,45676,1622,1069,49873,45082,83,31,1058,594,0,716,0,0,0,0,0,0,0,0,0,0,0,0,342,0
2014,5,"LFV",62686,25222660.244,2254726,112,31,1428,768,16,2,154,45,96,29,1274,723,0,0,0,0,0,0,741,0,0,0,0,0,28,0,505,0
2014,5,"SAKAERONAVIGATSIA",8508,2815125.192,214404,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,5,"NAVIAIR",56106,12152994.384,1103981,69,45,1333,1136,67,45,1318,1136,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
